,word,x,y,width,height
0,protected,12,35,101,24
1,String,119,35,69,24
2,getTargetServiceName,195,35,229,24
3,AddressingHeaders,431,35,189,24
4,headers,627,35,80,20
5,unknown_0,715,35,12,24
6,throws,735,35,69,20
7,Exception,811,35,101,24
8,unknown_1,919,35,15,24
10,To,54,62,27,19
11,tOURI,87,62,58,19
12,=,151,62,16,13
9,headers.getTo();,174,62,174,24
13,if,54,116,27,20
14,unknown_2,88,116,12,24
18,tOURI,109,116,58,19
19,==,173,116,27,13
15,null,206,116,48,20
16,unknown_3,262,116,11,24
17,{,282,116,15,24
21,return,77,143,68,19
20,null;,152,143,56,23
22,unknown_4,55,170,14,24
23,string,54,197,70,24
26,to,130,197,27,19
27,=,162,197,16,13
24,tOURI,184,197,175,24
25,getPath();,184,197,175,24
28,if,54,251,27,20
29,unknown_5,88,251,12,24
33,to,109,251,26,19
34,==,141,251,26,13
30,nul,174,251,37,20
31,1),218,251,23,24
32,{,250,251,14,24
36,return,77,278,68,19
35,null;,152,278,56,23
37,unknown_6,55,305,14,24
38,unknown_7,54,332,27,20
41,set,87,332,36,19
39,the,130,332,37,20
42,target,174,332,68,23
40,service,250,332,79,20
49,return,55,359,69,19
43,unknown_8,132,359,11,24
44,"to,substring(",152,359,143,24
50,to,303,359,34,19
45,lastIndexof(,336,359,132,24
46,unknown_9,479,359,31,20
47,unknown_10,521,359,12,24
52,unknown_11,540,359,16,16
51,1,562,359,16,19
48,));,586,359,32,24
53,unknown_12,11,386,15,24
