word,predicted_word,x,y,width,height
protected,protected,12,35,101,24
AbstractMatrix3D,AbstractMatrix3d,118,35,179,20
vDice(,VDice,303,35,67,24
int,int,378,35,37,20
"axis1,","axiso,",422,35,66,23
int,int,497,35,37,20
"axis1,","axis1,",540,35,66,23
int,int,616,35,36,20
axis2,axis2,659,35,59,20
),),726,35,12,24
{,{,746,35,15,24
-----------,super,55,62,132,24
vDice(,VDice,55,62,132,24
"axis1,","axiso,",195,62,66,23
"axis1,","axisl,",270,62,66,23
axis2,axis2,346,62,59,20
);,);,413,62,21,24
//,//,54,116,27,20
swap,swap,87,116,48,21
offsets,offsets,141,116,80,20
int[][],int[][],54,143,78,24
offsets,offsets,141,143,80,20
=,=,227,143,16,13
new,new,249,143,38,17
int[,int[,292,143,47,24
3,3,346,143,16,19
-----------,J(J;,369,143,44,24
offsets[,offsets[,54,170,90,24
0,0,152,170,15,19
],],174,170,12,24
=,=,195,170,16,13
this.sliceOffsets;,"this,sliceoffsets;",217,170,196,23
offsets[,offsets[,54,197,90,24
1,1,152,197,16,19
],],174,197,12,24
=,=,195,197,16,13
this.rowOffsets;,this.rowoffsets;,217,197,174,23
offsets[,offsets[,54,224,90,24
2,2,152,224,15,19
],],174,224,12,24
=,=,195,224,16,13
this.columnOffsets;,"this,columnoffsets;",217,224,207,23
this.sliceOffsets,"this,sliceoffsets",55,278,187,20
=,=,249,278,16,13
offsets[,offsets[,270,278,90,24
axis2,axiso,368,278,59,20
-----------,J;,434,278,22,24
this.rowOffsets,"this,rowoffsets",55,305,166,20
=,=,227,305,16,13
offsets[,offsets[,249,305,90,24
axis2,axisl,346,305,59,20
-----------,J;,412,305,22,24
this.columnOffsets,"this,columnoffsets",55,332,198,20
=,=,259,332,16,13
offsets[,offsets[,281,332,90,24
axis2,axis2,378,332,59,20
-----------,J;,444,332,23,24
return,return,55,386,69,19
this;,this;,130,386,56,23
},},11,413,15,24
