,word,x,y,width,height
0,public,12,35,69,24
1,IRodinDBStatus,87,35,155,20
2,getRodinDBStatus(),249,35,197,24
3,{,455,35,14,24
5,IStatus,55,62,79,19
6,status,142,62,68,19
7,=,216,62,16,13
4,this.getstatus();,238,62,186,24
8,if,54,116,27,20
9,vstatus,88,116,90,24
10,instanceof,184,116,113,20
11,IRodinDBStatusv),303,116,176,24
12,unknown_0,487,116,15,24
14,return,99,143,68,19
13,(vIRodinDBStatusv),175,143,196,24
15,status;,379,143,77,22
16,unknown_1,55,170,14,24
17,else,76,170,48,20
18,{,131,170,14,24
19,unknown_2,98,197,26,20
28,A,129,197,18,19
20,regular,153,197,79,24
29,IStatus,238,197,80,19
21,is,324,197,26,20
22,created,357,197,80,20
23,only,443,197,49,24
24,in,497,197,26,20
25,the,530,197,37,20
30,case,573,197,48,17
26,of,627,197,26,20
31,a,659,197,16,17
27,CoreException,681,197,153,24
32,unknown_3,98,224,26,20
39,See,130,224,37,19
33,bug,174,224,36,24
40,13492,217,224,58,19
34,Should,281,224,69,20
35,handle,357,224,70,20
36,RodinDBExceptions,433,224,187,24
37,that,627,224,47,20
38,contains,681,224,91,20
41,unknown_4,98,251,26,20
42,CoreException,130,251,145,24
44,more,281,251,48,17
43,gracefully,335,251,113,24
48,return,99,278,68,19
49,new,174,278,37,17
45,RodinDBStatus,217,278,153,24
46,this.nestedcoreException,379,278,263,24
47,);,651,278,21,24
50,unknown_5,55,305,14,24
51,unknown_6,11,332,15,24
