,word,x,y,width,height
0,public,12,35,69,24
1,Command,86,35,81,20
2,getBackcommand25(),173,35,198,24
3,unknown_0,379,35,15,24
4,if,54,62,27,20
5,unknown_1,88,62,12,24
6,backcommand25,109,62,145,20
17,==,259,62,27,13
7,null,292,62,48,20
8,unknown_2,348,62,12,24
9,{,368,62,15,24
10,/GEN-END:,389,62,110,20
11,unknown_3,512,62,8,24
15,618-getter,530,62,112,23
12,unknown_4,652,62,9,24
16,unknown_6,670,62,16,19
13,unknown_5,695,62,9,24
14,618-preInit,714,62,122,24
18,unknown_7,98,89,26,20
19,write,129,89,60,20
20,pre-init,195,89,90,24
23,user,292,89,48,17
21,code,346,89,48,20
22,here,400,89,48,20
24,backcommand25,98,116,145,20
38,=,249,116,16,13
37,new,271,116,37,17
25,Command(,313,116,90,24
26,"Back""",412,116,76,23
27,Command,497,116,142,23
28,"BACK,",497,116,142,23
33,unknown_11,648,116,16,19
29,);//GEN-LINE,672,116,140,24
30,unknown_8,814,116,9,24
34,618-getter,832,116,113,23
31,unknown_9,954,116,9,24
35,1,972,116,16,19
32,unknown_10,998,116,8,24
36,618-,1016,116,46,19
39,postInit,12,143,89,24
40,unknown_12,98,170,26,20
41,write,129,170,60,20
42,post-init,195,170,101,24
45,user,303,170,47,17
43,code,357,170,48,20
44,here,411,170,48,20
46,}/GEN,55,197,141,24
47,"""",55,197,141,24
48,BEGIN:,55,197,141,24
49,unknown_13,209,197,9,24
52,618-getter,227,197,113,23
50,unknown_14,349,197,9,24
53,2,368,197,15,19
51,unknown_15,393,197,8,24
55,return,55,224,69,19
54,backcommand25;,130,224,153,23
56,unknown_16,11,251,15,24
