word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
XYDataset,0,"['function', 'type', 'name']"
createDataset,0,"['function', 'name']"
double,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'name']"
[],0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name', 'index']"
values,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
String,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
name,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
final,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'specifier']"
XYSeries,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
series,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
new,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
XYSeries,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']"
name,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
for,0,"['function', 'block', 'block_content', 'for']"
int,0,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'type', 'name']"
i,0,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'name']"
=,1,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'init']"
0,0,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'init', 'expr', 'literal']"
i,1,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'name']"
<,0,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'operator']"
values,1,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'name', 'name']"
length,0,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'name', 'name']"
i,2,"['function', 'block', 'block_content', 'for', 'control', 'incr', 'expr', 'name']"
++,0,"['function', 'block', 'block_content', 'for', 'control', 'incr', 'expr', 'operator']"
series,1,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
add,0,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
i,3,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
values,2,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
i,4,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'index', 'expr', 'name']"
final,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'specifier']"
XYSeriesCollection,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
collection,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,2,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
new,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
XYSeriesCollection,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']"
collection,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
addSeries,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
series,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
return,0,"['function', 'block', 'block_content', 'return']"
collection,2,"['function', 'block', 'block_content', 'return', 'expr', 'name']"
