word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
DBusInterface,0,"['function', 'type', 'name']"
getRemoteObject,0,"['function', 'name']"
String,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
objectpath,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
throws,0,"['function', 'throws']"
DBusException,0,"['function', 'throws', 'argument', 'expr', 'name']"
if,0,"['function', 'block', 'block_content', 'if_stmt', 'if']"
null,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']"
==,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
objectpath,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
throw,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw']"
new,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'operator']"
DBusException,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'name']"
_,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name']"
"""Invalid object path: null""",0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
if,1,"['function', 'block', 'block_content', 'if_stmt', 'if']"
!,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
objectpath,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
matches,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
OBJECT_REGEX,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
||,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
objectpath,3,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
length,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
>,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
MAX_NAME_LENGTH,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
throw,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw']"
new,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'operator']"
DBusException,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'name']"
"""Invalid object path: """,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
+,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']"
objectpath,4,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'throw', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
return,0,"['function', 'block', 'block_content', 'return']"
dynamicProxy,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name']"
objectpath,5,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
