participant_id,function_name,function_id,key_pressed,timestamp
168,testGetEmail,33718481,R,2023-02-12 14:58:13.811223
168,testGetEmail,33718481,E,2023-02-12 14:58:13.905304
168,testGetEmail,33718481,T,2023-02-12 14:58:14.193334
168,testGetEmail,33718481,U,2023-02-12 14:58:14.287902
168,testGetEmail,33718481,R,2023-02-12 14:58:14.479372
168,testGetEmail,33718481,N,2023-02-12 14:58:14.576842
168,testGetEmail,33718481, ,2023-02-12 14:58:14.777306
168,testGetEmail,33718481,I,2023-02-12 14:58:15.257359
168,testGetEmail,33718481,F,2023-02-12 14:58:15.391084
168,testGetEmail,33718481, ,2023-02-12 14:58:15.552379
168,testGetEmail,33718481,T,2023-02-12 14:58:17.487097
168,testGetEmail,33718481,H,2023-02-12 14:58:17.679860
168,testGetEmail,33718481,E,2023-02-12 14:58:17.935426
168,testGetEmail,33718481, ,2023-02-12 14:58:18.096491
168,testGetEmail,33718481,E,2023-02-12 14:58:18.583646
168,testGetEmail,33718481,X,2023-02-12 14:58:18.976579
168,testGetEmail,33718481,P,2023-02-12 14:58:19.487509
168,testGetEmail,33718481,R,2023-02-12 14:58:19.935175
168,testGetEmail,33718481,E,2023-02-12 14:58:20.000608
168,testGetEmail,33718481,S,2023-02-12 14:58:20.296441
168,testGetEmail,33718481,U,2023-02-12 14:58:20.329085
168,testGetEmail,33718481,L,2023-02-12 14:58:20.593387
168,testGetEmail,33718481,T,2023-02-12 14:58:20.744397
168,testGetEmail,33718481, ,2023-02-12 14:58:20.872156
168,testGetEmail,33718481,I,2023-02-12 14:58:21.231636
168,testGetEmail,33718481,S,2023-02-12 14:58:21.327927
168,testGetEmail,33718481, ,2023-02-12 14:58:21.424821
168,testGetEmail,33718481,R,2023-02-12 14:58:22.456034
168,testGetEmail,33718481,,2023-02-12 14:58:23.848900
168,testGetEmail,33718481,,2023-02-12 14:58:23.976689
168,testGetEmail,33718481,,2023-02-12 14:58:24.112661
168,testGetEmail,33718481,,2023-02-12 14:58:24.497515
168,testGetEmail,33718481,E,2023-02-12 14:58:25.239365
168,testGetEmail,33718481,Q,2023-02-12 14:58:25.526939
168,testGetEmail,33718481,U,2023-02-12 14:58:25.592171
168,testGetEmail,33718481,A,2023-02-12 14:58:25.879389
168,testGetEmail,33718481,L,2023-02-12 14:58:25.944832
168,testGetEmail,33718481,S,2023-02-12 14:58:26.438872
168,testGetEmail,33718481, ,2023-02-12 14:58:26.977706
168,testGetEmail,33718481,R,2023-02-12 14:58:28.431158
168,testGetEmail,33718481,E,2023-02-12 14:58:28.464435
168,testGetEmail,33718481,S,2023-02-12 14:58:28.793457
168,testGetEmail,33718481,U,2023-02-12 14:58:28.824461
168,testGetEmail,33718481,L,2023-02-12 14:58:29.112942
168,testGetEmail,33718481,T,2023-02-12 14:58:29.304844
168,testGetEmail,33718481,S,2023-02-12 14:58:29.761255
168,testGetEmail,33718481, ,2023-02-12 14:58:50.617474
168,testGetEmail,33718481,A,2023-02-12 14:58:53.044721
168,testGetEmail,33718481,N,2023-02-12 14:58:53.168875
168,testGetEmail,33718481,D,2023-02-12 14:58:53.496734
168,testGetEmail,33718481, ,2023-02-12 14:58:53.598127
168,testGetEmail,33718481,A,2023-02-12 14:58:54.039726
168,testGetEmail,33718481,S,2023-02-12 14:58:54.304877
168,testGetEmail,33718481,K,2023-02-12 14:58:54.335943
168,testGetEmail,33718481, ,2023-02-12 14:58:54.560906
168,testGetEmail,33718481,T,2023-02-12 14:58:54.848749
168,testGetEmail,33718481,H,2023-02-12 14:58:54.945039
168,testGetEmail,33718481,E,2023-02-12 14:58:55.112041
168,testGetEmail,33718481, ,2023-02-12 14:58:55.208026
168,testGetEmail,33718481,U,2023-02-12 14:58:55.306478
168,testGetEmail,33718481,S,2023-02-12 14:58:55.527300
168,testGetEmail,33718481,E,2023-02-12 14:58:55.752836
168,testGetEmail,33718481,R,2023-02-12 14:58:55.817477
168,testGetEmail,33718481, ,2023-02-12 14:58:55.913044
168,testGetEmail,33718481,T,2023-02-12 14:58:56.149036
168,testGetEmail,33718481,O,2023-02-12 14:58:56.241134
168,testGetEmail,33718481, ,2023-02-12 14:58:56.339873
168,testGetEmail,33718481,R,2023-02-12 14:58:57.112635
168,testGetEmail,33718481,E,2023-02-12 14:58:57.176702
168,testGetEmail,33718481,M,2023-02-12 14:58:57.465376
168,testGetEmail,33718481,O,2023-02-12 14:58:57.529745
168,testGetEmail,33718481,V,2023-02-12 14:58:57.721009
168,testGetEmail,33718481,E,2023-02-12 14:58:57.792123
168,testGetEmail,33718481, ,2023-02-12 14:58:58.719531
168,testGetEmail,33718481,D,2023-02-12 14:59:01.112633
168,testGetEmail,33718481,E,2023-02-12 14:59:01.208789
168,testGetEmail,33718481,F,2023-02-12 14:59:01.727565
168,testGetEmail,33718481,A,2023-02-12 14:59:01.825011
168,testGetEmail,33718481,U,2023-02-12 14:59:01.891921
168,testGetEmail,33718481,L,2023-02-12 14:59:02.183539
168,testGetEmail,33718481,T,2023-02-12 14:59:02.312419
168,testGetEmail,33718481, ,2023-02-12 14:59:02.769042
168,testGetEmail,33718481,C,2023-02-12 14:59:03.123987
168,testGetEmail,33718481,A,2023-02-12 14:59:03.183975
168,testGetEmail,33718481,L,2023-02-12 14:59:03.344827
168,testGetEmail,33718481,L,2023-02-12 14:59:03.472786
168,clearFieldersFromField,45147874,G,2023-02-12 14:59:20.297821
168,clearFieldersFromField,45147874,I,2023-02-12 14:59:20.424422
168,clearFieldersFromField,45147874,V,2023-02-12 14:59:20.649132
168,clearFieldersFromField,45147874,E,2023-02-12 14:59:20.744894
168,clearFieldersFromField,45147874,N,2023-02-12 14:59:20.944997
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:21.040980
168,clearFieldersFromField,45147874,A,2023-02-12 14:59:21.272658
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:21.363618
168,clearFieldersFromField,45147874,3,2023-02-12 14:59:22.625400
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:22.752983
168,clearFieldersFromField,45147874,D,2023-02-12 14:59:23.041246
168,clearFieldersFromField,45147874,I,2023-02-12 14:59:23.104968
168,clearFieldersFromField,45147874,M,2023-02-12 14:59:23.391246
168,clearFieldersFromField,45147874,E,2023-02-12 14:59:23.753051
168,clearFieldersFromField,45147874,N,2023-02-12 14:59:23.879332
168,clearFieldersFromField,45147874,S,2023-02-12 14:59:24.039274
168,clearFieldersFromField,45147874,I,2023-02-12 14:59:24.136829
168,clearFieldersFromField,45147874,O,2023-02-12 14:59:24.304318
168,clearFieldersFromField,45147874,N,2023-02-12 14:59:24.497135
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:24.657379
168,clearFieldersFromField,45147874,A,2023-02-12 14:59:24.949222
168,clearFieldersFromField,45147874,R,2023-02-12 14:59:25.168561
168,clearFieldersFromField,45147874,R,2023-02-12 14:59:25.309010
168,clearFieldersFromField,45147874,A,2023-02-12 14:59:25.400604
168,clearFieldersFromField,45147874,Y,2023-02-12 14:59:25.687626
168,clearFieldersFromField,45147874,¼,2023-02-12 14:59:25.879814
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:26.113043
168,clearFieldersFromField,45147874,S,2023-02-12 14:59:26.467700
168,clearFieldersFromField,45147874,E,2023-02-12 14:59:26.532378
168,clearFieldersFromField,45147874,T,2023-02-12 14:59:26.752773
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:26.921043
168,clearFieldersFromField,45147874,A,2023-02-12 14:59:28.272723
168,clearFieldersFromField,45147874,L,2023-02-12 14:59:28.368743
168,clearFieldersFromField,45147874,L,2023-02-12 14:59:28.496979
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:28.656432
168,clearFieldersFromField,45147874,T,2023-02-12 14:59:28.824930
168,clearFieldersFromField,45147874,H,2023-02-12 14:59:28.983032
168,clearFieldersFromField,45147874,E,2023-02-12 14:59:29.112436
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:29.209082
168,clearFieldersFromField,45147874,V,2023-02-12 14:59:31.602969
168,clearFieldersFromField,45147874,A,2023-02-12 14:59:31.727448
168,clearFieldersFromField,45147874,L,2023-02-12 14:59:31.828032
168,clearFieldersFromField,45147874,U,2023-02-12 14:59:32.113209
168,clearFieldersFromField,45147874,E,2023-02-12 14:59:32.279392
168,clearFieldersFromField,45147874,S,2023-02-12 14:59:32.438932
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:32.669487
168,clearFieldersFromField,45147874,T,2023-02-12 14:59:32.864189
168,clearFieldersFromField,45147874,O,2023-02-12 14:59:32.983053
168,clearFieldersFromField,45147874, ,2023-02-12 14:59:33.080837
